Year,International title,National title,Production country,Director ( s ),Producer ( s )
2002,Amélie,Le fabuleux destin dAmélie Poulain,France,Jean-Pierre Jeunet,"Jean-Marc Deschamps , Claudie Ossard"
2002,A Beautiful Mind,A Beautiful Mind,United States,Ron Howard,"Ron Howard , Brian Grazer"
2002,The Piano Teacher,La Pianiste,France,Michael Haneke,"Michael Katz , Yvon Crenn"
2003,The Pianist,Pianista,France,Roman Polanski,"Roman Polanski , Robert Benmussa , Alain Sarde , Gene Gutowski"
2003,Dogville,Dogville,United Kingdom,Lars von Trier,Vibeke Windeløv
2003,"Good Bye , Lenin !","Good Bye , Lenin !",Germany,Wolfgang Becker,Stefan Arndt
2004,The Passion of the Christ,The Passion of the Christ,United States,Mel Gibson,"Bruce Davey , Mel Gibson , Stephen McEveety , Enzo Sisti"
2004,Life Is a Miracle,La vie est un miracle !,France,Emir Kusturica,"Alain Sarde , Emir Kusturica , Maja Kusturica"
2004,Lost in Translation,Lost in Translation,United States,Sofia Coppola,"Ross Katz , Sofia Coppola"
2005,The Aviator,The Aviator,United States,Martin Scorsese,"Michael Mann , Sandy Climan , Graham King , Charles Evans , Jr"
2005,House of Flying Daggers,十面埋伏 ( shí miàn mái fú ),China,Zhang Yimou,"William Kong , Zhang Yimou"
2005,Madagascar,Madagascar,United States,"Eric Darnell , Tom McGrath",Mireille Soria
2006,Volver,Volver,Spain,Pedro Almodovar,"Esther García , Agustín Almodóvar"
2006,Match Point,Match Point,United Kingdom,Woody Allen,"Letty Aronson , Gareth Wiley , Lucy Darwin"
2006,Munich,Munich,United States,Steven Spielberg,"Kathleen Kennedy , Steven Spielberg , Barry Mendel , Colin Wilson"
2007,The Queen,The Queen,France,Stephen Frears,"Andy Harries , Christine Langan , Tracey Seaward , Francois Ivernel , Cameron McCracken , Scott Rudin"
2007,Apocalypto,Apocalypto,United States,Mel Gibson,"Mel Gibson , Farhad Safinia , Bruce Davey , Ned Dowd"
2007,Babel,Babel,United States,Alejandro Gonzalez Inarritu,"Alejandro González Iñárritu , Steve Golin , Jon Kilik"
2008,There Will Be Blood,There Will Be Blood,United States,Paul Thomas Anderson,"Paul Thomas Anderson , Daniel Lupi , JoAnne Sellar , Scott Rudin"
2008,No Country for Old Men,No Country for Old Men,United States,"Joel Coen , Ethan Coen","Joel Coen and Ethan Coen , Scott Rudin"
