Cyclone,Season,Peak classification,Peak 10-min sustained winds,Pressure
Mahina,1899,Category 5 severe tropical cyclone,Unknown,880 hPa ( 25.99 inHg )
Joan,1975-76,Category 5 severe tropical cyclone,215 km/h ( 130 mph ),915 hPa ( 27.02 inHg )
Amy,1979-80,Category 5 severe tropical cyclone,215 km/h ( 130 mph ),915 hPa ( 27.02 inHg )
Kathy,1983-84,Category 5 severe tropical cyclone,220 km/h ( 140 mph ),920 hPa ( 27.17 inHg )
Orson,1988-89,Category 5 severe tropical cyclone,250 km/h ( 155 mph ),905 hPa ( 26.72 inHg )
Graham,1991-92,Category 5 severe tropical cyclone,205 km/h ( 120 mph ),915 hPa ( 27.02 inHg )
Rewa,1993-94,Category 5 severe tropical cyclone,205 km/h ( 125 mph ),920 hPa ( 27.17 inHg )
Theodore,1993-94,Category 5 severe tropical cyclone,205 km/h ( 120 mph ),910 hPa ( 26.87 inHg )
Chloe,1994-95,Category 5 severe tropical cyclone,220 km/h ( 140 mph ),920 hPa ( 27.17 inHg )
Pancho-Helinda,1996-97,Category 5 severe tropical cyclone,215 km/h ( 135 mph ),915 hPa ( 27.02 inHg )
Thelma,1998-99,Category 5 severe tropical cyclone,220 km/h ( 140 mph ),920 hPa ( 27.17 inHg )
Vance,1998-99,Category 5 severe tropical cyclone,215 km/h ( 135 mph ),910 hPa ( 26.87 inHg )
Frederic-Evrina,1998-99,Category 5 severe tropical cyclone,205 km/h ( 125 mph ),920 hPa ( 27.17 inHg )
Gwenda,1998-99,Category 5 severe tropical cyclone,220 km/h ( 140 mph ),900 hPa ( 26.58 inHg )
John,1999-2000,Category 5 severe tropical cyclone,205 km/h ( 130 mph ),915 hPa ( 27.02 inHg )
Paul,1999-2000,Category 5 severe tropical cyclone,205 km/h ( 130 mph ),915 hPa ( 27.02 inHg )
Chris,2001-02,Category 5 severe tropical cyclone,205 km/h ( 130 mph ),915 hPa ( 27.02 inHg )
Inigo,2002-03,Category 5 severe tropical cyclone,230 km/h ( 145 mph ),900 hPa ( 26.58 inHg )
Fay,2003-04,Category 5 severe tropical cyclone,185 km/h ( 115 mph ),910 hPa ( 26.87 inHg )
Floyd,2005-06,Category 4 severe tropical cyclone,195 km/h ( 120 mph ),916 hPa ( 27.05 inHg )
