Nation/Organization,Delegate,Office
Morocco,Abbas El Fassi,Prime Minister
Tunisia,Mohamed Ghannouchi,Prime Minister
Egypt,Ahmed Abul Gheit,Foreign Minister
Nigeria,Goodluck Jonathan,Vice President
Togo,Comlan Mally,Prime Minister
Nobel Foundation,Wangari Maathai,2004 Nobel Peace Prize laureate
European Union,Louis Michel,Humanitarian Aid Commissioner
United Nations,Asha-Rose Migiro,UN Deputy Secretary-General
Lesotho,Pakalitha Mosisili,Prime Minister
Niger,Seini Oumarou,Prime Minister
Angola,Fernando da Piedade Dias dos Santos,Prime Minister
Botswana,Mompati Sebogodi,Vice President
Ethiopia,Meles Zenawi,Prime Minister
World Bank,Robert Zoellick,President
African Development Bank,Donald Kaberuka,President
Japan Ministry of Finance,Fukushiro Nukaga,Finance Minister
Japan Ministry of Foreign Affairs,Masahiko Kōmura,Foreign Minister
United Nations World Food Programme,Josette Sheeran,Executive Director
United Nations Children 's Fund ( UNICEF ),Ann Veneman,Executive Director
