Year,Film,Genre,Team ( Director ),Nationality
2002,White Bitch Down,Mystery,Boondogglers Jon Hill,"Atlanta , Georgia"
2003,Baggage,Fantasy,Slapdash Films Kent Nichols,"Los Angeles , California"
2004,Moved,Science fiction,Nice Hat Productions Scott Ippolito Jim Issa,"Atlanta , Georgia"
2005,Mimes of the Prairie,Musical or Western,Team Last to Enter John Hansen,"Des Moines , Iowa"
2006,Tooth and Nail,Mockumentary,Cinema Syndicate Sean McGrath,"Portland , Oregon"
2007,TimeCatcher,Superhero,No Budget Productions Amit Saragosi,"Tel Aviv , Israel"
2008,Transfert,Horror,FatCat Films Pierre Zandrowicz,"Paris , France"
2009,Nicht nur der Himmel ist blau,Mockumentary,Sharktankcleaners Oliver Walser,"Berlin , Germany"
2010,The Girl Is Mime,Silent film,Far From Home Tim Bunn,"London , England"
2011,In Captivity,Superhero,Jpixx Films Jon Abrahams,"Hampton Roads , Virginia"
2012,Jacques Serres,Dark comedy,Les Productions avec Volontiers François Goetghebeur Nicolas Lebrun,"Paris , France"
2013,Geen Klote !,Unknown,De Filmband Jon Karthaus Melvin Simons,"Amsterdam , Netherlands"
2014,These Dirty Words,Romance,Jear Productions and The Pitchery Jens Rijsdijk,"Rotterdam , Netherlands"
2015,Unforgettable,Fish out of water,Take 23 Marco Grandia,"Amsterdam , Netherlands"
