Title,Developer,Genre,First Released
Space Cowboy Online,MasangSoft,Client-based MMO,2006
Canaan Online,XPEC Entertainment,Browser-based MMO,2008
Prius Online,CJ Corporation,Client-based MMO,2008
TalesRunner,Rhaon Entertainment,Client-based MMO,2008
Castle of Heroes,Snail Game,Browser-based MMO,2009
Dragonica,Gravity Games,Side-scrolling MMO,2009
Luna Online,Eya Soft,Client-based MMO,2009
AIKA Online,JoyImpact,Client-based MMO,2010
Vandia Breaker,Namco Bandai,Browser-based MMO,2010
Allods Online,Nival,Client-based MMO,2010
Iris Online,Eya Soft,Client-based MMO,2010
KungFu Hero,9wee,Browser-based MMO,2010
Terra Militaris,Snail Game,Browser-based MMO,2010
Age of Wulin,Snail Game,Client-based MMO,Open Beta July 2013
