Tournament,Winner,Team,Points
2019,Jakub Lauko,Rouyn-Noranda Huskies,"8 ( 2g , 6a )"
2018,Sam Steel,Regina Pats,"13 ( 2g , 11a )"
2017,Dylan Strome,Erie Otters,"11 ( 7g , 4a )"
2016,Mitch Marner,London Knights,"14 ( 2g , 12a )"
2015,Leon Draisaitl,Kelowna Rockets,"7 ( 4g , 3a )"
2014,Henrik Samuelsson,Edmonton Oil Kings,"8 ( 4g , 4a )"
2013,Nathan MacKinnon,Halifax Mooseheads,"13 ( 7g , 6a )"
2012,Michael Chaput,Shawinigan Cataractes,"12 ( 5g , 7a )"
2011,Andrew Shaw,Owen Sound Attack,"7 ( 2g , 5a )"
2010,Taylor Hall,Windsor Spitfires,"9 ( 5g , 4a )"
2009,Jamie Benn,Kelowna Rockets,"9 ( 5g , 4a )"
2008,Justin Azevedo,Kitchener Rangers,"11 ( 4g , 7a )"
2007,Michal Repik,Vancouver Giants,"7 ( 3g , 4a )"
2006,Gilbert Brulé,Vancouver Giants,"12 ( 6g , 6a )"
2005,Sidney Crosby,Rimouski Océanic,"11 ( 6g , 5a )"
2004,Doug O'Brien,Gatineau Olympiques,"8 ( 3g , 5a )"
2003,Gregory Campbell,Kitchener Rangers,"7 ( 1g , 6a )"
2002,Matthew Lombardi,Victoriaville Tigres,"9 ( 2g , 7a )"
2001,Simon Gamache,Val-d'Or Foreurs,"7 ( 4g , 3a )"
2000,Ramzi Abid,Halifax Mooseheads,"10 ( 6g , 4a )"
