No,Peak,Country,Elevation ( m ),Prominence ( m ),Col ( m )
1,Mount Elbrus,Russia,"5,642","4,741",901
2,Mount Bazarduzu,Russia / Azerbaijan,"4,466","2,454",2012
3,Mount Kazbek,Russia / Georgia,"5,034","2,353",2681
4,Tebulosmta,Russia / Georgia,"4,493","2,145",2348
5,Mount Aragats,Armenia,"4,090","2,143",1947
6,Dykh-Tau,Russia,"5,205","2,002",3203
7,Dyultydag,Russia,"4,127","1,834",2293
8,Kapudzhukh Lerr,Armenia / Azerbaijan,"3,905","1,820",2085
9,Gora Addala Shukgelmezr,Russia,"4,152","1,792",2360
10,Gora Shan,Russia / Georgia,"4,451","1,775",2676
