Title,Material collected,Publication date,ISBN
Batman : Year One,Batman # 404-407,2005 2007,HC : 978-1401206901 SC : 978-1401207526
Batman : Shaman,Batman : Legends of the Dark Knight # 1-5,1998,SC : 978-1401207526
Dark Moon Rising : Batman and the Monster Men,Dark Moon Rising : Batman and the Monster Men # 1-6,2006,SC : 978-1401210915
Dark Moon Rising : Batman and the Mad Monk,Dark Moon Rising : Batman and the Mad Monk # 1-6,2007,SC : 978-1401212810
Batman : The Man Who Laughs,Batman : The Man Who Laughs ; Detective Comics # 784-786,2008 2009,HC : 978-1401216221 SC : 978-1401216269
Batman : Dead to Rights,"Batman : Confidential # 22-25 , 29-30",2010,SC : 978-1401229252
Batman : Four of a Kind,Detective Comics Annual # 8 ; Batman : Shadow of the Bat Annual # 3 ; Batman : Legends of the Dark Knight Annual # 5 ; Batman Annual # 19,1998,SC : 978-1563894138
Batman : Prey,"Batman : Legends of the Dark Knight # 11-15 , 137-141",2012,SC : 978-1401235154
Batman : Venom,Legends of the Dark Knight # 16-20,2012,SC : 978-1401233839
Batman : Collected Legends of the Dark Knight,"Legends of the Dark Knight # 32-34 , 38 , 42-43",1994,SC : 978-1563891472
Batman : Other Realms,"Legends of the Dark Knight # 35-36 , 76-78",1998,SC : 978-1563894206
Batman : Gothic,Legends of the Dark Knight # 6-10,2007 2015,SC : 978-1401215491 New SC : 978-1401255169
Batman : Going Sane,"Legends of the Dark Knight # 65-68 , 200",2008,SC : 978-1401218218
Batman : Haunted Knight,Batman : Legends of the Dark Knight Halloween Special ; Batman : Madness - A Legends Of The Dark Knight Halloween Special ; Batman : Ghosts - A Legends of the Dark Knight Halloween Special,1996 1997,SC : 978-1563892738
Batman : The Long Halloween,Batman : The Long Halloween # 1-13,1999 1999,HC : 978-1563894275 SC : 978-1563894695
Batman : Night Cries,,1992,Hardcover : ISBN 978-1-56389-059-8
Batman : Dark Victory,Batman : Dark Victory # 0-13,2001 2002,HC : 978-1563897382 SC : 978-1563898686
Batman : Fortunate Son,Batman : Fortunate Son,1999 1999,HC : 978-1563895784 SC : 978-1563895906
Batman : Second Chances,"Batman # 402-403 , 408-416 ; Batman Annual # 11",2015,SC : 978-1401255183
Batman : Ten Nights of the Beast,Batman # 417-420,1994,SC : 978-1563891557
