Spoofed Title,Actual Title,Writer,Artist,Issue,Date
Taxing,Taxi ( September 1978-June 1983 ) ( Genre : Sitcom ) ( Broadcaster : ABC & NBC ),Stan Hart,Angelo Torres,212,January 1980
"The White , Shadowed",The White Shadow ( November 1978-March 1981 ) ( Genre : Sports drama ) ( Broadcaster : CBS ),Lou Silverstone,Angelo Torres,214,April 1980
Diff'rent Jokes,Diff'rent Strokes ( November 1978-March 1986 ) ( Genre : Sitcom ) ( Broadcaster : NBC & ABC ),Arnie Kogen,Angelo Torres,215,June 1980
Bentson,Benson ( September 1979-April 1986 ) ( Genre : Sitcom ) ( Broadcaster : ABC ),Tom Koch,Angelo Torres,216,July 1980
The Crockford Files,The Rockford Files ( September 1974-January 1980 ) ( Genre : Crime drama ) ( Broadcaster : NBC ),Lou Silverstone,Angelo Torres,217,September 1980
WKRAP in Cincinnati,WKRP in Cincinnati ( September 1978-April 1982 ) ( Genre : Sitcom ) ( Broadcaster : CBS ),Arnie Kogen,Angelo Torres,218,October 1980
The Dopes of Haphazzard,The Dukes of Hazzard ( January 1979-February 1985 ) ( Genre : Comedy-drama ) ( Broadcaster : CBS ),Dick DeBartolo,Angelo Torres,219,December 1980
Queezy,"Quincy , M.E . ( October 1976-May 1983 ) ( Genre : Medical drama ) ( Broadcaster : NBC )",Lou Silverstone,Angelo Torres,220,January 1981
"Crapper John , M.D","Trapper John , M.D . ( September 1979-September 1986 ) ( Genre : Medical drama ) ( Broadcaster : CBS )",Stan Hart,Jack Davis,221,March 1981
"That 's Real Incredible , People !",Real People ( April 1979-July 1984 ) ( Genre : Reality ) ( Broadcaster : NBC ) / That 's Incredible ! ( March 1980-April 1984 ) ( Genre : Reality ) ( Broadcaster : ABC ),Dick DeBartolo,Angelo Torres,222,April 1981
Dullus,Dallas ( September 1978-May 1991 ) ( Genre : Soap opera ) ( Broadcaster : CBS ),Lou Silverstone,Mort Drucker,223,June 1981
Har To Har,Hart to Hart ( September 1979-May 1984 ) ( Genre : Crime drama ) ( Broadcaster : ABC ),Lou Silverstone,Angelo Torres,224,July 1981
Too Gross For Comfort,Too Close for Comfort ( November 1980-February 1987 ) ( Genre : Sitcom ) ( Broadcaster : ABC ),Stan Hart,Angelo Torres,226,October 1981
"Magnumb , P.U","Magnum , P.I . ( January 1981-May 1988 ) ( Genre : Crime drama ) ( Broadcaster : CBS )",Lou Silverstone,Mort Drucker,227,December 1981
Starchie Bonker 's Place,Archie Bunker 's Place ( September 1979-April 1983 ) ( Genre : Sitcom ) ( Broadcaster : CBS ),Arnie Kogen,Mort Drucker,228,January 1982
Family Fools,Family Feud ( Since July 1976 ) ( Genre : Game show ) ( Broadcaster : ABC & CBS ),Dick DeBartolo,Angelo Torres,229,March 1982
DeGenerate Hospital,General Hospital ( Since April 1963 ) ( Genre : Medical drama ) ( Broadcaster : ABC ),Lou Silverstone,Mort Drucker,230,April 1982
Swill Street Blues,Hill Street Blues ( January 1981-May 1987 ) ( Genre : Police drama ) ( Broadcaster : NBC ),Tom Koch,Angelo Torres,231,June 1982
The Greatest American Zero,The Greatest American Hero ( March 1981-February 1983 ) ( Genre : Superhero ) ( Broadcaster : ABC ),Lou Silverstone,Mort Drucker,232,July 1982
The Brawl Guy,The Fall Guy ( November 1981-May 1986 ) ( Genre : Adventure ) ( Broadcaster : ABC ),Dick DeBartolo,Angelo Torres,233,September 1982
