Medal,Name,Sport,Event
Gold,Edy Reinalter,Alpine skiing,Men 's slalom
Gold,Hedy Schlunegger,Alpine skiing,Women 's downhill
Gold,Felix Endrich Friedrich Waller,Bobsleigh,Two-man
Silver,Karl Molitor,Alpine skiing,Men 's combined
Silver,Antoinette Meyer,Alpine skiing,Women 's slalom
Silver,Fritz Feierabend Paul Eberhard,Bobsleigh,Two-man
Silver,Hans Gerschwiler,Figure skating,Men 's singles
Bronze,Karl Molitor,Alpine skiing,Men 's downhill tie
Bronze,Rolf Olinger,Alpine skiing,Men 's downhill tie
Bronze,Switzerland men 's national ice hockey team Hans Bänninger Reto Perl Emil Handschin Ferdinand Cattini Hans Cattini Hanggi Boller Hans Dürst Walter Paul Dürst Bibi Torriani Gebhard Poltera Ulrich Poltera Hans-Martin Trepp Beat Rüedi Fredy Bieler Heini Lohrer Werner Lohrer Otto Schubiger,Ice hockey,Men 's competition
