Medal,Name,Sport,Event
Gold,Marja-Liisa Kirvesniemi,Cross-country skiing,Women 's 5 km
Gold,Marja-Liisa Kirvesniemi,Cross-country skiing,Women 's 10 km
Gold,Marja-Liisa Kirvesniemi,Cross-country skiing,Women 's 20 km
Gold,Matti Nykänen,Ski jumping,Men 's large hill ( K120 individual 90m )
Silver,Aki Karvonen,Cross-country skiing,Men 's 15 km
Silver,Jouko Karjalainen,Nordic combined,Men 's individual
Silver,Matti Nykänen,Ski jumping,Men 's normal hill ( K90 individual 70m )
Bronze,Harri Kirvesniemi,Cross-country skiing,Men 's 15 km
Bronze,Juha Mieto Aki Karvonen Harri Kirvesniemi Kari Ristanen,Cross-country skiing,Men 's 4 × 10 km relay
Bronze,Aki Karvonen,Cross-country skiing,Men 's 50 km
Bronze,Eija Hyytiainen Marja-Liisa Kirvesniemi Marjo Matikainen Pirkko Määttä,Cross-country skiing,Women 's 4 × 5 km relay
Bronze,Jukka Ylipulli,Nordic combined,Men 's individual
Bronze,Jari Puikkonen,Ski jumping,Men 's normal hill ( K90 individual 70m )
