Season,Player,School,Position
1978,Tim Tolman,Southern California,OF
1979,Jim Auten,UCLA,OF
1980,Terry Francona *,Arizona,OF
1981,Mike Sodders,Arizona State,IF
1982,Alvin Davis,Arizona State,1B
1983,Erik Hardgrave,Stanford,1B
1984,Oddibe McDowell *,Arizona State,OF
1984,Mark McGwire,Southern California,1B
1985,Rick Lundblade,Stanford,1B
1986,Torey Lovullo,UCLA,IF
1986,Alex Sanchez,UCLA,P
1987,Torey Lovullo ( 2 ),UCLA,IF
1987,Chip Hale,Arizona,IF
1988,Linty Ingram,Arizona State,P
1989,Scott Erickson,Arizona,P
1989,Alan Zinter,Arizona,1B
1990,Paul Ellis,UCLA,C
1991,David McCarty,Stanford,OF
1992,Troy Penix,California,1B
1992,Jon Zuber,California,P
