Apps,Team,Wins,Losses,Winning percent,Season ( s )
14,Crusaders,10,4,.714,"1998 , 1999 , 2000 , 2002 , 2003 , 2004 , 2005 , 2006 , 2008 , 2011 , 2014 , 2017 , 2018 , 2019"
6,Brumbies,2,4,.333,"1997 , 2000 , 2001 , 2002 , 2004 , 2013"
4,Blues,3,1,.750,"1996 , 1997 , 1998 , 2003"
4,Sharks,0,4,.000,"1996 , 2001 , 2007 , 2012"
3,Bulls,3,0,1.000,"2007 , 2009 , 2010"
3,Chiefs,2,1,.667,"2009 , 2012 , 2013"
3,Waratahs,1,2,.333,"2005 , 2008 , 2014"
3,Hurricanes,1,2,.333,"2006 , 2015 , 2016"
3,Lions,0,3,.000,"2016 , 2017 , 2018"
2,Highlanders,1,1,.500,"1999 , 2015"
1,Reds,1,0,1.000,2011
1,Stormers,0,1,.000,2010
1,Jaguares,0,1,.000,2019
