Position,Player,Transferred From,Date
GK,Ahmadulhaq Che Omar,Balestier Khalsa,1 January 2012
DF,K. Sathiaraj,Balestier Khalsa,1 January 2012
MF,Armanizam Dolah,Balestier Khalsa,1 January 2012
MF,Shamsurin Abdul Rahman,Balestier Khalsa,1 January 2012
MF,Hilmi Azman,Balestier Khalsa,1 January 2012
FW,Farizal Basri,Home United,1 January 2012
DF,Daniel Hammond,Geylang United,1 January 2012
DF,Danny Chew Ji Xiang,Free Transfer,1 January 2012
DF,Vincent Lee,SAFFC,1 January 2012
DF,Fabien Lewis,Free Transfer,11 January 2012
MF,Hussein Akil,Sydney Olympic,11 January 2012
