Games,Gold,Silver,Bronze
1969 Halifax/Dartmouth,British Columbia,Ontario,Newfoundland
1973 New Westminster/Burnaby,British Columbia,Ontario,Manitoba
1977 St. John 's,British Columbia,Quebec,Ontario
1981 Thunder Bay,British Columbia,Alberta,Quebec
1985 Saint John,Alberta,Quebec,Ontario
1989 Saskatoon,Ontario,Quebec,Manitoba
1993 Kamloops,British Columbia,Ontario,Nova Scotia
1997 Brandon,Quebec,British Columbia,Alberta
2001 London,Alberta,Newfoundland,Nova Scotia
2005 Regina,Ontario,New Brunswick,Quebec
2009 Charlottetown,Quebec,Alberta,Ontario
2013 Sherbrooke,Quebec,British Columbia,Ontario
2017 Winnipeg,Ontario,Alberta,Quebec
