Member,Electoral district,Party
Thomas Dickie,Avondale,Liberal
William Sirett,Beautiful Plains,Patrons of Industry
Charles Mickle,Birtle,Liberal
Charles Adams,Brandon City,Liberal
Clifford Sifton,Brandon North,Liberal
Herbert Graham,Brandon South,Liberal
Roger Marion,Carillon,Conservative
Alfred Doig,Cypress,Liberal
Theodore Burrows,Dauphin,Liberal
Charles Alexander Young,Deloraine,Liberal
Watson Crosby,Dennis,Patrons of Industry
David Henry McFadden,Emerson,Conservative
Hector Sutherland,Kildonan,Conservative
Finlay Young,Killarney,Liberal
John Rutherford,Lakeside,Liberal
Tobias Norris,Lansdowne,Liberal
Théophile Paré,La Verendrye,Conservative
James Riddell,Lorne,Liberal
John Donald McIntosh,Manitou,Liberal
Robert Myers,Minnedosa,Liberal
