Pick #,MLS team,Player,Position,Affiliation
61,Colorado Rapids,Matt Harrell,F,University of Denver
62,New England Revolution,PASS,,
63,D.C. United,PASS,,
64,Kansas City Wizards,Dane Erickson,D,Davidson College
65,Kansas City Wizards,Mark Spears,G,William Carey College
66,MetroStars,Jeff Moore,M,Richard Stockton College
67,Columbus Crew,Scott Leber,D,Stanford University
68,MetroStars,Leo Krupnik,D,UC Berkeley
69,Los Angeles Galaxy,Ishmael Mintah,M,Bradley University
70,San Jose Earthquakes,Lars Lyssand,M,San Jose State
