Pick #,MLS team,Player,Position,Affiliation
49,MetroStars,Colby Jackson,F,Cal State-Fullerton
50,Kansas City Wizards,Tom Zawislan,GK,Creighton University
51,Tampa Bay Mutiny,Mark Schulte,D,Twin Cities Tornado ( PDL )
52,San Jose Earthquakes,Ian Russell,F,Seattle Sounders ( A-League )
53,Miami Fusion,Pablo Gentile,D,Miami Breakers ( PDL )
54,Tampa Bay Mutiny,Brian Waltrip,F,University of South Florida
55,Colorado Rapids,Peter Scavo,F,Seton Hall University
56,Chicago Fire,Alejandro Rincon,M,Southern Connecticut State
57,Columbus Crew,Dominic Schell,D,University of Mobile
58,Dallas Burn,Seth Marks,D,Furman University
59,Los Angeles Galaxy,Thomas Serna,F,Rancho Santiago ( Mexico )
60,D.C. United,* Micah Cooks,M,Project-40
