Medal,Name,Event,Games
Gold,Mohammad Sarengat,Men 's 100 m,1962 Asian Games
Gold,Mohammad Sarengat,Men 's 110 m Hurdles,1962 Asian Games
Gold,Supriati Sutono,Women 's 5000 m,1998 Asian Games
Gold,Maria Natalia Londa,Women 's Long Jump,2014 Asian Games
Silver,Sugiri Supardi Wahjudi Jootje Oroh,Men 's 4 × 100 m Relay,1966 Asian Games
Silver,Emilia Nova,Women 's 100 metres hurdles,2018 Asian Games
Silver,Mohd Fadlin Lalu Muhammad Zohri Eko Rimbawan Bayu Kertanegara,Men 's 4 × 100 metres Relay,2018 Asian Games
Bronze,Sudarmodjo,Men 's High Jump,1951 Asian Games
Bronze,AF Matulessy,Men 's Javelin Throw,1951 Asian Games
Bronze,Hendarsin Hendamihardja,Men 's Triple Jump,1951 Asian Games
Bronze,Triwulan Darwati Lie Djian Nio Surjowati,Women 's 4 × 100 m Relay,1951 Asian Games
Bronze,Annie Salamun,Women 's Discus Throw,1951 Asian Games
Bronze,Karnah Soekarta,Women 's Javelin Throw,1958 Asian Games
Bronze,Mohammad Sarengat,Men 's 200 m,1962 Asian Games
Bronze,Gurnam Singh,Men 's 10000 m,1962 Asian Games
Bronze,Awang Papilaja,Men 's Long Jump,1962 Asian Games
Bronze,Awang Papilaja,Men 's High Jump,1962 Asian Games
Bronze,Soeratmi Ernawati Tomasoa Wiewiek Machwijar,Women 's 4 × 100 m Relay,1962 Asian Games
Bronze,Soeatini,Women 's 800 m,1962 Asian Games
Bronze,Carolina Rieuwpassa,Women 's 100 m,1970 Asian Games
