Album,Label,Release date
Please Please Me,Parlophone Records PCS 3042,22 March 1963
With the Beatles,Parlophone Records PCS 3045,22 November 1963
A Hard Day 's Night,Parlophone Records PCS 3058,10 July 1964
Beatles for Sale,Parlophone Records PCS 3062,4 December 1964
Help !,Parlophone Records PCS 3071,6 August 1965
Rubber Soul,Parlophone Records PCS 3075,3 December 1965
Revolver,Parlophone Records PCS 7009,5 August 1966
Sgt . Pepper 's Lonely Hearts Club Band,Parlophone Records PCS 7027,1 June 1967
The Beatles ( White Album ),Apple Records PCS 7067/8,22 November 1968
Yellow Submarine,Apple Records PCS 7070,17 January 1969
Abbey Road,Apple Records PCS 7088,26 September 1969
Let It Be,Apple Records PCS 7096,8 May 1970
Rarities,Parlophone Records PSLP 261 ( British editions ) Capitol SPRO-8969 ( US editions ),2 December 1978
