Scientific name,Common name,Classified,Average size,Conservation status
Eulemur albifrons,White-fronted brown lemur,"1796 , É. Geoffroy",2.2-2.6 kg ( 4.9-5.7 lb ),Endangered
Eulemur cinereiceps,Gray-headed lemur,"1890 , Grandidier and Milne-Edwards",2-2.5 kg ( 4.4-5.5 lb ),Critically Endangered
Eulemur collaris,Collared brown lemur,"1812 , É. Geoffroy",2.25-2.5 kg ( 5.0-5.5 lb ),Endangered
Eulemur coronatus,Crowned lemur,"1842 , Gray",1.1-1.3 kg ( 2.4-2.9 lb ),Endangered
Eulemur flavifrons,Blue-eyed black lemur,"1867 , Gray",1.8-1.9 kg ( 4.0-4.2 lb ),Critically Endangered
Eulemur fulvus,Common brown lemur,"1812 , É. Geoffroy",2-3 kg ( 4.4-6.6 lb ),Near Threatened
Eulemur macaco,Black lemur,"1766 , Linnaeus",2-2.9 kg ( 4.4-6.4 lb ),Vulnerable
Eulemur mongoz,Mongoose lemur,"1766 , Linnaeus",1.1-1.6 kg ( 2.4-3.5 lb ),Critically Endangered
Eulemur rubriventer,Red-bellied lemur,"1850 , I. Geoffroy",1.6-2.4 kg ( 3.5-5.3 lb ),Vulnerable
Eulemur rufifrons,Red-fronted lemur,"1833 , Bennett",2.2-2.3 kg ( 4.9-5.1 lb ),Near Threatened
Eulemur rufus,Red lemur,"1799 , Audebert",2.2-2.3 kg ( 4.9-5.1 lb ),Vulnerable
Eulemur sanfordi,Sanford 's brown lemur,"1932 , Archbold",1.8-1.9 kg ( 4.0-4.2 lb ),Endangered
Hapalemur alaotrensis,Lac Alaotra bamboo lemur,"1975 , Rumpler",1.1-1.4 kg ( 2.4-3.1 lb ),Critically Endangered
Hapalemur aureus,Golden bamboo lemur,"1987 , Meier et al",1.3-1.7 kg ( 2.9-3.7 lb ),Critically Endangered
Hapalemur griseus gilberti,Beanamalao bamboo lemur,"2007 , Rabarivola et al",0.967 kg ( 2.13 lb ),Endangered
Hapalemur griseus griseus,Eastern lesser bamboo lemur,"1795 , Link",0.7-1 kg ( 1.5-2.2 lb ),Vulnerable
Hapalemur griseus ranomafanensis,Ranomafana bamboo lemur,"2007 , Rabarivola et al",0.7-0.85 kg ( 1.5-1.9 lb ),Data Deficient
Hapalemur meridionalis,Southern lesser bamboo lemur,"1987 , Warter , et al",0.75-1.05 kg ( 1.7-2.3 lb ),Vulnerable
Hapalemur occidentalis,Western lesser bamboo lemur,"1975 , Rumpler",1 kg ( 2.2 lb ),Vulnerable
Lemur catta,Ring-tailed lemur,"1756 , Linnaeus",2.3-3.5 kg ( 5.1-7.7 lb ),Endangered
