Year ( s ),Title,Description
1997,Quayside,Television series
1997,Byker Grove,"4 episodes of television series : Series 9 , Episode 17 Series 9 , Episode 18 Series 9 , Episode 19 Series 9 , Episode 20"
1998-2000,EastEnders,Episodes of television series
1999,Cold Feet,"2 episodes of television series : Series 2 , Episode 1 Series 2 , Episode 2"
2001,Love in a Cold Climate,2-part television serial
2002,Daniel Deronda,3-part television serial
2003,Prime Suspect 6 : The Last Witness,2-part television serial
2004,Red Dust,Feature film
2005,Elizabeth I,2-part HBO miniseries
2006,Longford,Television film
2008,John Adams,7-part HBO miniseries
2009,The Damned United,Feature film
2010,The King 's Speech,Feature film
2012,Les Misérables,Feature film
2015,The Danish Girl,Feature film
2019,His Dark Materials,"2 episodes of television series : Series 1 , Episode 1 Series 1 , Episode 2"
2019,Cats,Feature film
