Region,Rnd,Host,Venue,City,State
East,1 & 2,University of Notre Dame,Edmund P. Joyce Center,Notre Dame,Indiana
East,1 & 2,"University of California , Santa Barbara",UC Santa Barbara Events Center,Santa Barbara,California
East,1 & 2,Virginia Tech,Cassell Coliseum,Blacksburg,Virginia
East,1 & 2,Fairfield University,Bridgeport Arena at Harbor Yard,Bridgeport,Connecticut
Mideast,1 & 2,University of Montana,Dahlberg Arena,Missoula,Montana
Mideast,1 & 2,Ohio State University,St. John Arena,Columbus,Ohio
Mideast,1 & 2,Duke University,Cameron Indoor Stadium,Durham,North Carolina
Mideast,1 & 2,University of Minnesota,Williams Arena,Minneapolis,Minnesota
Midwest,1 & 2,University of New Mexico,The Pit ( arena ),Albuquerque,New Mexico
Midwest,1 & 2,Arizona State University,Wells Fargo Arena,Tempe,Arizona
Midwest,1 & 2,University of Tennessee at Chattanooga,McKenzie Arena,Chattanooga,Tennessee
Midwest,1 & 2,Florida State University,Tallahassee-Leon County Civic Center,Tallahassee,Florida
West,1 & 2,University of Texas,Frank Erwin Center,Austin,Texas
West,1 & 2,Louisiana State University,LSU Assembly Center ( Pete Maravich Assembly Center ),Baton Rouge,Louisiana
West,1 & 2,Iowa State University,Hilton Coliseum,Ames,Iowa
West,1 & 2,Temple University,Liacouras Center,Philadelphia,Pennsylvania
