Name,Year,Max Players,Description
Badlands,1989,"2 , simultaneous",An auto racing game with guns set in a post-apocalyptic world
Batman,1990,"2 , alternating",The player takes on the role of the Caped Crusader participating in scenes taken from the 1989 film of the same name . Scenes are varied and include a final confrontation with The Joker
Battlezone,1980,1,"A big hit for Atari , the player controls a tank from the point-of-view from inside the tank . Novel controls , game cabinet and graphics made this a standout"
Beat Head,1993,"2 , simultaneous",A competitive rhythm game . Never released into full production
Beavis and Butt-Head,1996,"2 , simultaneous",A prototype of a game based on the animated TV series ; never released
Black Widow,1982,"2 , alternating","The player is a spider at the middle of a web , trying to defend it from enemies"
Blasteroids,1987,"2 , simultaneous",Players blast asteroids and other targets and try to catch powerups to upgrade their weapons
BMX Heat,1991,1,An unreleased motorcycle racing game
Boxing,1977,"2 , simultaneous",An unreleased black and white prototype of a boxing game
Bradley Trainer,1980,1,"A special-purpose version of Battlezone for the U.S. military . Players do not control the tank as in the original game , only the tank turret"
Breakout,1976,"2 , alternating",Players break down a wall at the top of the screen with a ball and paddle
