Opponent,S,Occurrences,GP,Rec,%
Philadelphia Flyers,9,"1975 , 1978 , 1995 , 1997 , 1998 , 2000 , 2001 , 2006 , 2011",50,3-6,.333
Boston Bruins,8,"1982 , 1983 , 1988 , 1989 , 1992 , 1993 , 1999 , 2010",45,2-6,.250
Montreal Canadiens,7,"1973 , 1975 , 1983 , 1990 , 1991 , 1993 , 1998",35,3-4,.429
Ottawa Senators,4,"1997 , 1999 , 2006 , 2007",21,3-1,.750
New York Islanders,4,"1976 , 1977 , 1980 , 2007",21,1-3,.250
Dallas Stars,3,"1977 , 1981 , 1999",13,1-2,.333
Chicago Blackhawks,2,"1975 , 1980",9,2-0,1.000
New York Rangers,2,"1978 , 2007",9,2-0,1.000
Vancouver Canucks,2,"1980 , 1981",7,2-0,1.000
Colorado Avalanche,2,"1984 , 1985",8,0-2,.000
Pittsburgh Penguins,2,"1979 , 2001",10,0-2,.000
St. Louis Blues,1,1976,3,1-0,1.000
Toronto Maple Leafs,1,1999,5,1-0,1.000
Carolina Hurricanes,1,2006,7,0-1,.000
New Jersey Devils,1,1994,7,0-1,.000
Washington Capitals,1,1998,6,0-1,.000
Totals,50,,256,21-29,.420
