Year,Horse,Age,Trainer,Owner
1935,Discovery,4,Bud Stotler,Alfred G. Vanderbilt II
1934,Equipose,6,Thomas J. Healey,C. V. Whitney
1933,Equipose,5,Thomas J. Healey,C. V. Whitney
1932,Equipose,4,Thomas J. Healey,C. V. Whitney
1931,Sun Beau,6,Andy Schuttinger,Willis Sharpe Kilmer
1930,Sun Beau,5,William A. Crawford,Willis Sharpe Kilmer
1930,Blue Larkspur,4,Herbert J. Thompson,Edward R. Bradley
1929,Sun Beau,4,Andrew G. Blakely,Willis Sharpe Kilmer
1929,Diavolo,4,James E. Fitzsimmons,Wheatley Stable
1928,Mike Hall,4,Walter W. Taylor,Hal Price Headley
1927,Chance Play,4,John I. Smith,Log Cabin Stable
1926,Sarazen,5,Max Hirsch,Virginia Fair Vanderbilt
1925,Sarazen,4,Max Hirsch,Virginia Fair Vanderbilt
1924,Epinard,4,H. Eugene Leigh,Pierre Wertheimer
1923,Grey Lag,5,Sam Hildreth,Harry F. Sinclair
1922,Exterminator,7,Eugene Wayland,Willis Sharpe Kilmer
1922,Grey Lag,4,Sam Hildreth,Harry F. Sinclair
1921,Exterminator,6,Willie Knapp,Willis Sharpe Kilmer
1921,Mad Hatter,5,Sam Hildreth,Harry F. Sinclair
1920,Exterminator,5,Henry McDaniel,Willis Sharpe Kilmer
