Year,Title,Role
1986,Wildcats,Trumaine
1986,Streets of Gold,Roland Jenkins
1987,Critical Condition,Ambulance Driver
1987,Bad,Mini Max
1989,Major League,Willie Mays Hayes
1990,Mo ' Better Blues,Shadow Handerson
1990,King of New York,Thomas Flanigan
1991,New Jack City,Nino Brown
1991,Jungle Fever,Flipper Purify
1992,The Waterdance,Raymond Hill
1992,White Men Ca n't Jump,Sidney Syd Deane
1992,Passenger 57,John Cutter
1993,Boiling Point,Jimmy Mercer
1993,Rising Sun,Lt. Webster Web Smith
1993,Demolition Man,Simon Phoenix
1994,Sugar Hill,Roemello Skugs
1994,Drop Zone,Pete Nessip
1995,"To Wong Foo , Thanks for Everything ! Julie Newmar",Noxeema Jackson
1995,Money Train,John Powell
1995,Waiting to Exhale,James Wheeler
