Year,Time,Athlete,Location
1968,8:24.2,Jouko Kuha ( FIN ),Stockholm
1969,8:22.2,Vladimiras Dudinas ( URS ),Kiev
1970,8:21.98,Kerry O'Brien ( AUS ),Berlin
1971,8:24.0,Kerry O'Brien ( AUS ),Adelaide
1972,8:20.8,Anders Gärderud ( SWE ),Helsinki
1973,8:13.91,Ben Jipcho ( KEN ),Helsinki
1974,8:14.2,Anders Gärderud ( SWE ),Helsinki
1975,8:09.70,Anders Gärderud ( SWE ),Stockholm
1976,8:08.02,Anders Gärderud ( SWE ),Montréal
1977,8:14.05,Michael Karst ( FRG ),Stockholm
1978,8:05.4,Henry Rono ( KEN ),Seattle
1979,8:17.92,Henry Rono ( KEN ),Champaign
1980,8:09.70,Bronisław Malinowski ( POL ),Moscow
1981,8:12.32,Mariano Scartezzini ( ITA ),Zagreb
1982,8:16.17,Henry Marsh ( USA ),Koblenz
1983,8:12.37,Henry Marsh ( USA ),Berlin
1984,8:07.62,Joseph Mahmoud ( FRA ),Brussels
1985,8:09.17,Henry Marsh ( USA ),Koblenz
1986,8:10.01,William Van Dijck ( BEL ),Brussels
1987,8:08.57,Francesco Panetta ( ITA ),Rome
