,Cyclists,Nation,Team,Age,Points
1,Marianne Vos,NED,DSB,26,1229
2,Judith Arndt,GER,TMP,37,1206.66
3,Ina Teutenberg,GER,TMP,39,616.16
4,Nicole Cooke,GBR,HBH,30,536
5,Fabiana Luperini,ITA,MSI,39,530
6,Emma Johansson,SWE,AAD,30,529
7,Trixi Worrack,GER,NUR,32,501.66
8,Christiane Soeder,AUT,RLT,38,495
9,Kristin Armstrong,USA,RLT,40,488
10,Suzanne de Goede,NED,NUR,29,436
11,Kirsten Wild,NED,AAD,31,423
12,Susanne Ljungskog,SWE,FLX,37,397
13,Amber Neben,USA,FLX,38,393
14,Karin Thürig,SUI,RLT,41,368
15,Emma Pooley,GBR,TSW,31,367
16,Tatiana Guderzo,ITA,GAU,29,360
17,Luise Keller,GER,TMP,29,357.16
18,Giorgia Bronzini,ITA,TFA,30,296
19,Chantal Beltman,NED,TMP,37,291
20,Rochelle Gilmore,AUS,,32,267
