Year,Title,Role
1994,The Adventures of Batman & Robin,Clayface
1995,Chronomaster,Rene Korda
1997,Fallout,"Butch Harris , Narrator"
1998,Fallout 2,Narrator
2001,Icewind Dale : Heart of Winter,Wylfdene
2001,Fallout Tactics : Brotherhood of Steel,Narrator
2003,Batman : Rise of Sin Tzu,"Clayface , Matt Hagen"
2003,True Crime : Streets of LA,"Misha , Additional voices"
2003,Lords of EverQuest,Lord Skass
2004,The Chronicles of Riddick : Escape from Butcher Bay,Jagger Valance
2004,Halo 2,Lord Hood
2005,Narc,Captain Joe Kowalski
2005,Gun,Mayor Hoodoo Brown
2005,The Incredible Hulk : Ultimate Destruction,Emil Blonsky / The Abomination
2005,The Outfit,Tommy Mac
2006,Teen Titans,Slade
2006,Justice League Heroes,Bruce Wayne / Batman
2007,Halo 3,Lord Hood
2007,Conan,Conan the Barbarian
2008,Turok,Slade
