Round,Overall,Player,Position,Nationality,Club team
1,26,Martin Havlat,Left Wing,Czech Republic,Trinec Ocelari ( Czech . )
2,48,Simon Lajeunesse,Goalie,Canada,Moncton Wildcats ( QMJHL )
2,62,Teemu Sainomaa,Centre,Finland,Jokerit ( Finland )
3,94,Chris Kelly,Centre,Canada,London Knights ( OHL )
5,154,Andrew Ianiero,Left Wing,Canada,Kingston Frontenacs ( OHL )
6,164,Martin Prusek,Goalie,Czech Republic,HC Vitkovice Ostrava ( Czech . )
7,201,Mikko Ruutu,Right Wing,Finland,HIFK ( Finland )
7,209,Layne Ulmer,Centre,Canada,Swift Current Broncos ( WHL )
7,213,Alexandre Giroux,Centre,Canada,Hull Olympiques ( QMJHL )
9,269,Konstantin Gorovikov,Right Wing,Russia,SKA Saint Petersburg ( Russia )
