Team,Ap,Location,Stadium
Bodø/Glimt,16,Bodø,Aspmyra Stadion
Brann,48,Bergen,Brann Stadion
Fredrikstad,35,Fredrikstad,Fredrikstad Stadion
HamKam,19,Hamar,Briskeby
Lillestrøm,41,Lillestrøm,Åråsen Stadion
Lyn,31,Oslo,Ullevaal Stadion
Molde,29,Molde,Molde Stadion
Odd Grenland,24,Skien,Odd Stadion
Rosenborg,41,Trondheim,Lerkendal Stadion
Sogndal,12,Sogndal,Fosshaugane
Stabæk,10,Bærum,Nadderud Stadion
Tromsø,18,Tromsø,Alfheim Stadion
Vålerenga,44,Oslo,Ullevaal Stadion
Viking,55,Stavanger,Viking Stadion
