Season,Player,Team,Position,Rating,Win #
1967-68,Dallas Smith,Boston Bruins,D,+33,1
1968-69,Phil Esposito,Boston Bruins,C,+55,1
1968-69,Bobby Orr,Boston Bruins,D,+55,1
1969-70,Bobby Orr,Boston Bruins,D,+54,2
1970-71,Bobby Orr,Boston Bruins,D,+124,3
1971-72,Bobby Orr,Boston Bruins,D,+83,4
1972-73,Jacques Laperriere,Montreal Canadiens,D,+77,1
1973-74,Bobby Orr,Boston Bruins,D,+84,5
1974-75,Bobby Orr,Boston Bruins,D,+80,6
1975-76,Bobby Clarke,Philadelphia Flyers,C,+83,1
1976-77,Larry Robinson,Montreal Canadiens,D,+120,1
1977-78,Guy Lafleur,Montreal Canadiens,RW,+73,1
1978-79,Bryan Trottier,New York Islanders,C,+76,1
1979-80,Jim Schoenfeld,Buffalo Sabres,D,+60,1
1980-81,Brian Engblom,Montreal Canadiens,D,+63,1
1981-82,Wayne Gretzky,Edmonton Oilers,C,+80,1
