Rank,Country,Team,Time
1,Romania,Cristina Pomacu Anuța Cătună Elena Fidatof,3:31:29
2,Russia,Valentina Yegorova Alla Zhilyayeva Firiya Sultanova-Zhdanova,3:33:12
3,Spain,Ana Isabel Alonso Rocío Ríos Carmen Fuentes,3:34:26
4,France,Zahia Dahmani Nadia Prasad Nicole Lévêque,3:38:00
5,Italy,Maura Viceconte Lucilla Andreucci Ornella Ferrara,3:39:40
6,Japan,Naomi Sakashita Mari Yoshikawa Harue Morishita,3:41:51
7,Netherlands,Anne van Schuppen Gabrielle Vijverberg Marianne van de Linde,3:42:04
8,Great Britain,Cath Mijovic Angie Hulley Vikki McPherson,3:42:59
9,South Africa,Colleen de Reuck Lizianne Holmes Grace de Oliveira,3:43:11
10,United States,Lynn Doering Darlene Mota Maria Trujillo,3:45:26
11,Ethiopia,Getenesh Urge Asha Gigi Asselefech Assefa,3:45:34
12,Poland,Kamila Gradus Danuta Marczyk Dorota Gruca-Giezek,3:46:03
13,Mexico,María del Carmen Díaz María Luisa Servín Petra Guevara,3:47:39
14,Belarus,Yelena Mazovka Alla Zadorozhnaya Tatyana Nefedyeva,3:48:38
15,Ukraine,Yelena Plastinina Rimma Dubovik Lyubov Klotschko,3:51:12
16,Belgium,Marleen Renders Siska Maton Christel Rogiers,3:54:44
17,Algeria,Leila Bendahmane Nasria Baghdad Hamida Mazouzi,4:03:35
18,Albania,Miranda Grecu Manushaqe Taku Sonila Cekina,4:50:43
-,Brazil,Solange de Souza Silvana Pereira Rizoneide Vanderley,DNF
-,Germany,Andrea Fleischer Luminita Zaituc Monika Schäfer,DNF
