Name,Location,Capacity ( MW )
Windy Point Wind Farm,Klickitat County,400
Wild Horse Wind Farm,Kittitas County,273
Marengo Wind Farm,Columbia County,211
White Creek Wind Farm,Klickitat County,205
Big Horn Wind Farm,Klickitat County,200
Stateline Wind Farm,Walla Walla County,177
Hopkins Ridge Wind Farm,Columbia County,157
Lower Snake River Wind Project,Garfield County,342.7
Tucannon River Wind Farm,Dayton,267
Palouse Wind Farm,"Whitman County , Washington",100
Nine Canyon Wind Project,"Benton County , Washington",95.9
