Year,Film,Director,Other actors
1965,Bahu begum,Wazeer Ali,"Habib , Sabira Sultana , Deeba , Nasira"
1965,Eid mubarak,S.M . Yousuf,"Zeba , Habib , Rukhsana , Iqbal Yousuf"
1966,Josh,Iqbal Yousuf,"Zeba , Sudhir , Rozina , Hanif , Iqbal Yousuf"
1966,Jaag utha insaan,Sheikh Hassan,"Zeba , Mohammad Ali , Firdous , Ibrahim Nafees"
1966,Bhayya,Qazi Zaheer Rehan,"Chitra Singha , Anwar Hussein , Shabana"
1967,Doraha,Pervaiz Malik,"Shamim Ara , Deeba , Talish , Qurban Jilani"
1967,Phir subha hogi,Rafiq Rizvi,"Deeba , Iqbal Yousuf , Talat Siddiqui , Nirala"
1967,Maan baap,Khalil Qaiser,"Zeba , Zamurrad , Yousuf Khan , Alauddin"
1967,Rishta hai pyar ka,Qamar Zaidi,"Zeba , Iqbal Yousuf , Hanif , Farida Adeeb"
1967,Insaniyat,Shabab Kiranvi,"Zeba , Tariq Aziz , Nanna , Ali Ejaz , Firdous"
1968,Samandar,Rafiq Ghauri,"Shabnam , Nirala , Rozina , Hanif , Qurban Jillani"
1968,Jahan tum wahan hum,Pervaiz Malik,"Shabnam , Nirala , Tamanna , Mehmood Ali"
1969,Ishara,Waheed Murad,"Deeba , Rozina , Lehri , Talat Hussein"
1969,Ladla,A.H. Siddiqui,"Shabnam , Santosh Kumar , Sabiha Khanam , Lehri , Talish"
1969,Ik nagina,S.A. Hafiz,"Deeba , Aliya , Qavi , Lehri , Saiqa , Adeeb"
1970,Afsana,Luqman,"Deeba , Rozina , Nanna , Zeenat , Adeeb"
1970,Bewafa,S. Suleman,"Shamim Ara , Mustafa Qureshi , Khalid S. Butt"
1970,Naseeb Apna Apna,Qamar Zaidi,"Shabnam , Nirala , Tamanna , Saqi"
1970,Chand sooraj,Shor Lakhnavi,"Rozina , Nadeem , Shabana , Hanif , Sangeeta"
1972,Hill station,Iqbal Yousuf,"Shamim Ara , Iqbal Yousuf , Qavi , Nirala"
