Year,Title,Role
2000,Hechizo de amor,Martica Sánchez
2001,"Más que amor , frenesí",Anastasia Taty Lara Fajardo
2002,Las González,Petunia Piña González
2003-2004,La Cuaima,Bambi Cáceres Rovaina
2005-2006,Amor a palos,Julieta Soriano
2008,La Trepadora,Eugenia Alcoy Del Casal
2011,Que el cielo me explique,Karen Montero
2011-2012,Grachi,Matilda Román
2012-2013,El rostro de la venganza,Katerina Alvarado
2013-2014,Marido en alquiler,Patricia Ibarra Palmer
2014-2015,Tierra de reyes,Irina del Junco
2015-2016,¿Quién es quién ?,Fernanda Manrique de Pérez / Isabela Fernanda Blanco
2016-2017,Vino el amor,Graciela Palacios
2018-2019,Por amar sin ley,Sofía Alcócer
2020,Rubí,Maribel de la Fuente
