Title,First release,Developer ( s ),Platform ( s )
BlazBlue : Continuum Shift II,"May 31 , 2011",Arc System Works,Nintendo 3DS
Bit.Trip Saga,"September 13 , 2011",Gaijin Games,Nintendo 3DS
Chase : Cold Case Investigations - Distant Memories,"October 13 , 2016",Arc System Works,Nintendo 3DS ( eShop )
Double Dragon,"October 20 , 2011",Technos,Nintendo 3DS ( Virtual Console )
Zero Escape : Virtue 's Last Reward,"October 23 , 2012",Chunsoft,Nintendo 3DS
Hakuoki : Memories of the Shinsengumi,"September 24 , 2013","Idea Factory , Otomate",Nintendo 3DS
Shifting World,"September 1 , 2013",Fishing Cactus,Nintendo 3DS
Moco Moco Friends,"November 17 , 2015",Nippon Columbia,Nintendo 3DS
Family Fishing,"November 19 , 2015",Arc System Works,Nintendo 3DS ( eShop )
Radiohammer,"December 10 , 2015",Arc System Works,Nintendo 3DS ( eShop )
Slice It !,"January 14 , 2016","Arc System Works , Com2uS",Nintendo 3DS ( eShop )
Langrisser Re : Incarnation Tensei,"April 19 , 2016","Career Soft , Masaya Games",Nintendo 3DS
Zero Time Dilemma,"June 28 , 2016",Spike Chunsoft,Nintendo 3DS
Creeping Terror,Fall 2017,"Sushi Typhoon Games , Mebius",Nintendo 3DS
Jake Hunter : Ghost of the Dusk,2018,Arc System Works,Nintendo 3DS
