Team,Winners,Runners-up,Years won,Years runners-up
América,7,0,"1977 , 1987 , 1990 , 1992 , 2006 , 2015 , 2016",
Cruz Azul,6,2,"1969 , 1970 , 1971 , 1996 , 1997 , 2014","2009 , 2010"
Pachuca,5,0,"2002 , 2007 , 2008 , 2010 , 2017",
Monterrey,4,0,"2011 , 2012 , 2013 , 2019",
Saprissa,3,2,"1993 , 1995 , 2005","2004 , 2008"
UNAM,3,1,"1980 , 1982 , 1989",2005
Alajuelense,2,3,"1986 , 2004","1971 , 1992 , 1999"
Toluca,2,3,"1968 , 2003","1998 , 2006 , 2014"
Transvaal,2,3,"1973 , 1981","1974 , 1975 , 1986"
Olimpia,2,2,"1972 , 1988","1985 , 2000"
Defence Force,2,2,"1978 † , 1985","1987 , 1988"
Guadalajara,2,2,"1962 , 2018","1963 , 2007"
Atlante,2,1,"1983 , 2009",1994
Comunicaciones,1,2,1978 †,"1962 , 1969"
Los Angeles Galaxy,1,1,2000,1997
Necaxa,1,1,1999,1996
Municipal,1,1,1974,1995
D.C. United,1,0,1998,
Cartaginés,1,0,1994,
Puebla,1,0,1991,
