Team,Location,Stadium,Capacity
FC Augsburg,Augsburg,WWK ARENA,"30,660"
Bayer Leverkusen,Leverkusen,BayArena,"30,210"
Bayern Munich,Munich,Allianz Arena,"75,000"
Borussia Dortmund,Dortmund,Signal Iduna Park,"81,359"
Borussia Mönchengladbach,Mönchengladbach,Stadion im Borussia-Park,"59,724"
Eintracht Frankfurt,Frankfurt,Commerzbank-Arena,"51,500"
Fortuna Düsseldorf,Düsseldorf,Merkur Spiel-Arena,"54,600"
SC Freiburg,Freiburg im Breisgau,Schwarzwald-Stadion,"24,000"
Hertha BSC,Berlin,Olympiastadion,"74,649"
TSG Hoffenheim,Sinsheim,Wirsol Rhein-Neckar-Arena,"30,164"
1 . FC Köln,Cologne,RheinEnergieStadion,"49,698"
RB Leipzig,Leipzig,Red Bull Arena,"42,558"
Mainz 05,Mainz,Coface Arena,"34,000"
SC Paderborn,Paderborn,Benteler-Arena,"15,000"
Schalke 04,Gelsenkirchen,Veltins-Arena,"62,271"
Union Berlin,Berlin,Stadion An der Alten Försterei,"22,012"
Werder Bremen,Bremen,Weserstadion,"42,354"
VfL Wolfsburg,Wolfsburg,Volkswagen Arena,"30,000"
