#,Artist,Artist 's nationality,Title
1,OMI,Jamaica Germany,Cheerleader ( Felix Jaehn Remix )
2,Lost Frequencies,Belgium,Are You with Me
3,Felix Jaehn featuring Jasmine Thompson,Germany United Kingdom,Ai n't Nobody ( Loves Me Better )
4,Ellie Goulding,United Kingdom,Love Me Like You Do
5,Major Lazer & DJ Snake featuring MØ,United States France Denmark,Lean On
6,Sido featuring Andreas Bourani,Germany,Astronaut
7,Adele,United Kingdom,Hello
8,Robin Schulz featuring Francesco Yates,Germany Canada,Sugar
9,Wiz Khalifa featuring Charlie Puth,United States,See You Again
10,Kygo featuring Conrad Sewell,Norway Australia,Firestone
11,Philipp Dittberner & Marv,Germany,Wolke 4
12,Namika,Germany,Lieblingsmensch
13,Sarah Connor,Germany,Wie schön du bist
14,Lost Frequencies featuring Janieck Devy,Belgium,Reality
15,Anna Naklab featuring Alle Farben & YOUNOTUS,Germany,Supergirl
16,Jason Derulo,United States,Want to Want Me
17,Gestört aber Geil featuring Wincent Weiss,Germany,Unter meiner Haut
18,Ed Sheeran,United Kingdom,Photograph
19,Robin Schulz featuring Ilsey,Germany United States,Headlights
20,Kygo featuring Parson James,Norway,Stole the Show
