Name,Main Title,Dynasty,Date,Comment
Babaef,Vizier,4th dynasty,( fl . c. 26th century BC ),Also known as Khnumbaf . He was a vizier during the reign of king Shepseskaf . He was probably the son of the vizier Duaenre
Bakenkhonsu,High Priest of Amun,19th dynasty,( c. 1303 BC - c. 1213 BC ),From the time of pharaoh Ramesses II
Bakenranef,Pharaoh,24th dynasty,( reigned 725 BC - 720 BC ),"Also known as Bocchoris . Was briefly a king of the 24th dynasty of Egypt . Based at Sais in the western Delta . Captured and executed by Shabaka , a king of the 25th dynasty"
Bakenrenef,Vizier,26th dynasty,( 7th century BCE ),From the time of pharaoh Psamtik I
Baketwernel,Queen,20th dynasty,( fl . c. late-12th century BC ),Great Royal Wife of Ramesses IX
Baqet III,Nomarch of Men'at Khufu,11th dynasty,( fl . c. 21st century BCE ),From the time of pharaoh Mentuhotep II
Baskakeren,King of Kush,,( fl . c. late-5th century BC ),King of Kush ( reigned c. 405 BC - c. 404 BC ) and was probably a son of King Malewiebamani and the younger brother of King Amanineteyerike . He succeeded Amanineteyerike to the throne
Baufra,Prince,4th dynasty,( fl . c. 26th century BC ),Also known as Baufre or Bauefre . Baufra was a son of Pharaoh Khufu
Bay Irsu,Chancellor,19th dynasty,( fl . c. late-13th century BC ),Served under pharaoh Seti II and later became an influential powerbroker in the closing stages of the 19th dynasty . Executed
Bebi,Vizier,11th dynasty,fl . c. 21st century BC,Egyptian vizier under king Mentuhotep II
Bebiankh,Pharaoh,16th dynasty,fl . c. early-16th century BC,Also known as Seuserenre Bebiankh . The successor of king Semenre
Bebnum,Pharaoh,14th or 16th dynasty,fl . c. early to mid 17th century BC,Obscur ruler of Lower or Upper Egypt during the Second Intermediate Period . Only known from the Turin King List
Behenu,Queen,6th dynasty,fl . c. 23rd century BC,She is thought to have been the wife of either Pepi I or of Pepi II
Bek ( or Bak ),Royal Sculptor,18th dynasty,fl . c. mid-14th century BC,"Chief royal sculptor during the reign of Pharaoh Akhenaten . Bek followed the king to Akhetaten , the city founded by Akhenaten . He oversaw the construction of the great temple statues of the king"
Beketamun,Princess,18th dynasty,( fl . c. mid-15th century BC ),Also known as Beket . A daughter of Pharaoh Thutmose III
Beketaten,Princess,18th dynasty,( fl . c. mid-14th century BC ),She was the youngest daughter of Pharaoh Amenhotep III and Tiye and thus the sister of Pharaoh Akhenaten
Benerib,Queen,1st dynasty,( fl . 31st century BC ),"Benerib was most likely a wife of pharaoh Hor-Aha , but she was not the mother of his heir , Djer"
Berenice,Princess/Queen,Ptolemaic,( fl . 261 BC - 246 BC ),"Also known as Berenice Syra . Daughter of the Egyptian king Ptolemy II Philadelphus and Arsinoe I . She married the Seleucid monarch Antiochus II Theos who divorced his wife , Laodice I . When Antiochus II died , Berenice claimed the regency for her son , Seleucus . However , both Berenice and her son were then killed by Laodice I"
Berenice I,Queen,Ptolemaic,( c. 340 BC - c. 275 BC ),"A Macedonian noblewoman who , through her marriage to Ptolemy I Soter , became the first queen of the Ptolemaic dynasty of Egypt . Berenice travelled to Egypt as a lady-in-waiting to Eurydice , Ptolemy I 's wife . Ptolemy I married Berenice in 317 BC"
Berenice II,Queen,Ptolemaic,( c. 267 BC - c. 221 BC ),"The daughter of Magas of Cyrene and Queen Apama II . Her husband , Demetrius the Fair , a Macedonian prince , moved to Cyrene where he became the lover of her mother Apama . So Berenice had him killed in Apama 's bedroom . Afterwards she married the Egyptian king , Ptolemy III Euergetes"
