Name,Country,Took office,Term End,Division
Alapini-Gansou Reine Alapini-Gansou,Benin,2018,2027,Trial and Pre-Trial
Akane Tomoko Akane,Japan,2018,2027,Trial and Pre-Trial
Bosa Solomy Balungi Bossa,Uganda,2018,2027,Appeals
Chung Chung Chang-ho,South Korea,2015,2024,Trial
Carmen Luz del Carmen Ibáñez Carranza,Peru,2018,2027,Appeals
Eboe-Osuji Chile Eboe-Osuji,Nigeria,2012,2021,Appeals
Fremr Robert Fremr,Czech Republic,2012,2021,Trial
Henderson Geoffrey A. Henderson,Trinidad and Tobago,2014,2021,Trial
Herrera Carbuccia Olga Venecia Herrera Carbuccia,Dominican Republic,2012,2021,Trial
Hofmański Piotr Hofmański,Poland,2015,2024,Appeals
Kovács Péter Kovács,Hungary,2015,2024,Trial and Pre-Trial
Mindua Antoine Kesia-Mbe Mindua,Democratic Republic of the Congo,2015,2024,Trial and Pre-Trial
Morrison Howard Morrison,United Kingdom,2012,2021,Appeals
Pangalangan Raul Cano Pangalangan,Philippines,2015,2021,Trial
Perrin de Brichambaut Marc Perrin de Brichambaut,France,2015,2024,Trial and Pre-Trial
Prost Kimberly Prost,Canada,2018,2027,Trial and Appeals
Salvatore Rosario Salvatore Aitala,Italy,2018,2027,Pre-Trial
Schmitt Bertram Schmitt,Germany,2015,2024,Trial
