No,Year,Film,Producer,Director
1,1976,Swami Ayyappan,P. Subramaniam,P. Subramaniam
3,1978,Rappadikalude Gadha,M. Subramaniam,K. G. George
4,1979,Idavazhiyile Poocha Mindappoocha,Priyadarsini Films,Hariharan
5,1980,Manjil Virinja Pookkal,Navodaya Appachan,Fazil
6,1981,Gaanam,Sreekumaran Thampi,Sreekumaran Thampi
8,1983,Koodevide,Prem Prakash,Padmarajan
9,1984,Nokkethadhoorathu Kannum Nattu,"Ouseppachan , Khayas , Kurian",Fazil
10,1985,Yathra,Joseph Abraham,Balu Mahendra
11,1986,Ennennum Kannettante,Sajan,Fazil
12,1987,Oru Minnaminunginte Nurunguvettam,"Gopinath Panthalam , Babu Thiruvalla",Bharathan
13,1988,1921,Mohammed Mannil,I. V. Sasi
14,1989,Oru Vadakkan Veeragatha,P. V. Gangadharan,Hariharan
15,1990,Perumthachan,G. Jayakumar,Ajayan
16,1991,Godfather,Swargachitra Appachan,Siddique-Lal
17,1992,Venkalam,V. V. Babu,Bharathan
18,1993,Manichitrathazhu,Swargachitra Appachan,Fazil
19,1994,Thenmavin Kombath,N. Gopalakrishnan,Priyadarshan
20,1995,Mazhayethum Munpe,Madhavan Nair,Kamal
