Name,Affiliation,State,Service
Evan Alexander,B 1787,North Carolina,1806-09
Bruce Alger,B 1940,Texas,1955-65
Willis Alston,Att,North Carolina,1825-31
Abram Andrew,"B 1893 , T 1932-36",Massachusetts,1921-26
Arthur Glenn Andrews,B 1931,Alabama,1965-67
Walter Gresham Andrews,"B 1913 , Football coach 1913-15",New York,1931-49
John Archer,B 1760,Maryland,1801-07
Stevenson Archer I,B 1805,Maryland,"1811-17 , 1819-21"
Stevenson Archer II,B 1848,Maryland,1867-75
James Armstrong,Att,Pennsylvania,1793-95
William Armstrong,B 1847,Pennsylvania,1869-71
John Bacon,B 1765,Massachusetts,1801-03
Alexander Bailey,B 1837,New York,1867-71
Joseph Bailey,B 1915,Texas,1933-35
David Bard,B 1773,Pennsylvania,"1795-99 , 1803-15"
James W. Bates,B 1807,Arkansas Territory,1819-23
Thomas Bayly,B 1797,Maryland,1817-23
Thomas M. Bayly,B 1794,Virginia,1813-15
John Beatty,"B 1769 , T 1787-1802",New Jersey,1793-95
Cleve Benedict,B 1959,West Virginia,1981-83
