Name,Swedish name,Location,Date,Condition
Carlsten Fortress,Carlstens fästning,Bohuslän,1667,Museum
Charlottenborg manor house,Charlottenborgs slott,Östergötland,1651,Museum
Charlottenlund Castle,Charlottenlunds slott,Scania,1849,Private residence
Chinese Pavilion at Drottningholm,Kina slott,Stockholm,1769,Museum
Christinehof Castle,Christinehofs slott,Scania,1740,Museum
Claestorp Castle,Claestorps slott,Södermanland,1754,Hotel
Dalaborg,Dalaborg,Dalsland,1304,Ruin
Dagsnäs Castle,Dagsnäs slott,Västergötland,1874,Private residence
Djursholm Castle,Djursholms slott,Stockholm,15th century,Office
Drottningholm Palace,Drottningholms slott,Stockholm,1580,"Private residence , museum"
Dybäck Castle,Dybäcks slott,Scania,14th century,Private residence
Edsberg Castle,Edsbergs slott,Uppland,1630,School
Ekenäs Castle,Ekenäs slott,Östergötland,15th century,Museum
Ekebyholm Castle,Ekebyholms slott,Uppland,17th century,School
Ekebyhov Castle,Ekebyhovs slott,Uppland,1670s,Museum
Ekensholm Castle,Ekensholms slott,Södermanland,1820s,Private residence
Eketorp Fort,Eketorps fornborg,Öland,5th century,"Museum , ruin"
Ekholmen Castle,Ekholmens slott,Uppland,1857,Hotel
Ekolsund Castle,Ekolsunds slott,Uppland,17th century,Hotel
Elghammar Castle,Elghammars slott,Södermanland,1807,Private residence
