Member,Position,Political group,Constituency
Jerzy Buzek,President,European People 's Party,Silesian ( Poland )
Giovanni Pittella,Vice President,Socialists & Democrats,Southern Italy
Rodi Kratsa-Tsagaropoulou,Vice President,European People 's Party,Greece
Anni Podimata,Vice President,Socialists & Democrats,Greece
Miguel Angel Martínez Martínez,Vice President,Socialists & Democrats,Spain
Alejo Vidal-Quadras Roca,Vice President,European People 's Party,Spain
Dagmar Roth-Behrendt,Vice President,Socialists & Democrats,Germany
Libor Rouček,Vice President,Socialists & Democrats,Czech Republic
Isabelle Durant,Vice President,Green-EFA,French-speaking Belgium
Roberta Angelilli,Vice President,European People 's Party,Central Italy
Diana Wallis,Vice President,Alliance of Liberals and Democrats for Europe,Yorkshire and the Humber ( UK )
László Tőkés,Vice President,European People 's Party,Romania
Edward McMillan-Scott,Vice President,Alliance of Liberals and Democrats for Europe,Yorkshire and the Humber ( UK )
Rainer Wieland,Vice President,European People 's Party,Germany
Giles Chichester,Vice President,European Conservatives and Reformists,South West England ( UK )
Lidia Geringer de Oedenberg,Quaestor,Socialists & Democrats,Lower Silesian and Opole ( Poland )
Jim Higgins,Quaestor,European People 's Party,North-West Ireland
Astrid Lulling,Quaestor,European People 's Party,Luxembourg
Jiří Maštálka,Quaestor,European United Left-Nordic Green Left,Czech Republic
Bill Newton Dunn,Quaestor,Alliance of Liberals and Democrats for Europe,East Midlands ( UK )
