Season,Name,Club,Goals
1996,Jure Ereš,Singapore Armed Forces,28
1997,Goran Paulić,Balestier Central,21
1998,Stuart Young,Home United,22
1999,Mirko Grabovac,Singapore Armed Forces,23
2000,Mirko Grabovac,Singapore Armed Forces,19
2001,Mirko Grabovac,Singapore Armed Forces,39
2002,Mirko Grabovac,Singapore Armed Forces,34
2003,Peres de Oliveira,Home United,31
2004,Egmar Goncalves,Home United,30
2005,Mirko Grabovac,Tampines Rovers,26
2006,Laakkad Abdelhadi,Woodlands Wellington,23
2007,Aleksandar Đurić,Singapore Armed Forces,37
2008,Aleksandar Đurić,Singapore Armed Forces,28
2009,Aleksandar Đurić,Singapore Armed Forces,28
2010,Frédéric Mendy,Etoile FC,21
2011,Mislav Karoglan,Singapore Armed Forces,33
2012,Frédéric Mendy,Home United,20
2013,Aleksandar Đurić Moon Soon-Ho,Tampines Rovers Woodlands Wellington,15
2014,Rodrigo Tosi,DPMM FC,24
2015,Rafael Ramazotti,DPMM FC,21
