Name,Height,Type,Country,River
Rogun Dam,"335 m ( 1,099 ft )",Embankment,Tajikistan,Vakhsh River
Bakhtiari Dam,"325 m ( 1,066 ft )",Concrete arch,Iran,Bakhtiari River
Shuangjiangkou Dam,"312 m ( 1,024 ft )","Embankment , rock-fill",China,Dadu River
Lianghekou Dam,295 m ( 968 ft ),"Embankment , concrete-face rock-fill",China,"Yalong , Qingda and Xianshui River confluence"
Brushy Fork Tailings Dam,290.8 m ( 954 ft ),Embankment,United States,Brushy Fork
Baihetan Dam,277 m ( 909 ft ),Concrete arch,China,Jinsha River
Diamer-Bhasha Dam,272 m ( 892 ft ),Concrete gravity,Pakistan,River Indus
Dasu Dam,242 m ( 794 ft ),Concrete gravity,Pakistan,River Indus
Antamina Tailings Dam,240 m ( 790 ft ),"Embankment , concrete-face rock-fill",Peru,Ayash River
Wudongde Dam,240 m ( 790 ft ),Concrete gravity,China,Jinsha River
Kishau Dam,236 m ( 774 ft ),Concrete gravity,India,Tons River
Tasang Dam,228 m ( 748 ft ),"Embankment , concrete-face rock-fill",Myanmar,Salween River
Ituango Dam,225 m ( 738 ft ),"Embankment , earth-fill",Colombia,Cauca River
Houziyan Dam,223.5 m ( 733 ft ),"Embankment , concrete-face rock-fill",China,Dadu River
Maerdang Dam,211 m ( 692 ft ),"Embankment , concrete-face rock-fill",China,Yellow River
Lakhwar Dam,204 m ( 669 ft ),Concrete gravity,India,Yamuna River
Huangdeng Dam,203 m ( 666 ft ),Concrete gravity,China,Lancang River
Khersan-3 Dam,195 m ( 640 ft ),"Concrete arch , variable-radius",Iran,Khersan River
Grand Ethiopian Renaissance Dam,175 m ( 574 ft ),Concrete gravity,Ethiopia,Blue Nile River
Sykia Dam,170 m ( 560 ft ),"Embankment , earth-fill",Greece,Achelous River
