Year,Winner,School,Sport
1976-77,Lusia Harris,Delta State,Basketball
1977-78,Ann Meyers,UCLA,Basketball
1978-79,Nancy Lieberman,Old Dominion,Basketball
1979-80,Julie Shea ( Julie Shea-Graw ),North Carolina State,Track & Field
1979-80,Patty Berg ( Patty Berg-Burnett ),University of the Pacific,Volleyball
1980-81,Jill Sterkel,Texas,Swimming & Diving
1981-82,Tracy Caulkins,Florida,Swimming & Diving
1982-83,Deitre Collins,Hawaii,Volleyball
1983-84,Tracy Caulkins,Florida,Swimming & Diving
1983-84,Cheryl Miller,Southern California,Basketball
1984-85,Jackie Joyner,UCLA,Track & Field
1985-86,Kamie Ethridge,Texas,Basketball
1986-87,Mary T. Meagher,California,Swimming & Diving
1987-88,Teresa Weatherspoon,Louisiana Tech,Basketball
1988-89,Vicki Huber,Villanova,Track & Field
1989-90,Suzy Favor,Wisconsin,Track & Field
1990-91,Dawn Staley,Virginia,Basketball
1991-92,Missy Marlowe,Utah,Gymnastics
1992-93,Lisa Fernandez,UCLA,Softball
1993-94,Mia Hamm,North Carolina,Soccer
