Season,Winner,Team,League
2009-10,Jonathan Weaver,Coventry Blaze,EIHL
2008-09,Jonathan Weaver,Coventry Blaze,EIHL
2007-08,Jonathan Weaver,Coventry Blaze,EIHL
2006-07,Jonathan Weaver,Newcastle Vipers,EIHL
2005-06,Jonathan Weaver,Newcastle Vipers,EIHL
2004-05,Danny Meyers,Bracknell Bees,BNL
2003-04,Leigh Jamieson,Belfast Giants,EIHL
2002-03,Neil Liddiard,Basingstoke Bison,BNL
2001-02,Neil Liddiard,Basingstoke Bison,BNL
2000-01,Paul Dixon,Guildford Flames,BNL
1999-00,Stephen Cooper,Nottingham Panthers,BISL
1998-99,Stephen Cooper,Newcastle Riverkings,BISL
1997-98,Stephen Cooper,Manchester Storm,BISL
1996-97,Jason Stone,Cardiff Devils,BISL
1995-96,Stephen Cooper,Cardiff Devils,BHL
1994-95,Graham Waghorn,Nottingham Panthers,BHL
1993-94,Stephen Cooper,Cardiff Devils,BHL
1992-93,Stephen Cooper,Cardiff Devils,BHL
1991-92,Stephen Cooper,Durham Wasps,BHL
1990-91,Stephen Cooper,Durham Wasps,BHL
