Type,Player,Recruited from,Club
Father/son,David Round,Calder Cannons,Footscray
Father/son,Simon Fletcher,Geelong Falcons,Geelong
Father/son,Joel Bowden,West Alice Springs,Richmond
Father/son,Nick Jewell,Prahran Dragons,Richmond
Father/son,Ben Cousins,East Fremantle,West Coast Eagles
Father/son,David Walls,Southport,Carlton
Pre-draft,Daniel Parker,Subiaco,Fremantle
Zone,Danny Dickfos,North Brisbane,Brisbane Bears
Zone,Brett Voss,Morningside,Brisbane Bears
Zone,Derek Wirth,Mount Gravatt,Brisbane Bears
Zone,Michael Brown,Swan Districts,Fremantle
Zone,Trent Carroll,Claremont,Fremantle
Zone,Michael Clark,Swan Districts,Fremantle
Zone,James Clement,South Fremantle,Fremantle
Zone,Brendon Feddema,East Fremantle,Fremantle
Zone,Greg Harding,Claremont,Fremantle
Zone,Steven Koops,West Perth,Fremantle
Zone,Gavin Mitchell,West Kimberley,Fremantle
Zone,Martin Whitelaw,West Perth,Fremantle
Zone,Ben Hollands,North Albury,Sydney Swans
