Team,Home city,Stadium,Capacity
Santa Tecla F.C,"Santa Tecla , La Libertad",Estadio Las Delicias,"10,000"
Alianza F.C,San Salvador,Estadio Cuscatlán,"45,925"
C.D . FAS,Santa Ana,Estadio Óscar Quiteño,"15,000"
C.D . Águila,San Miguel,Juan Francisco Barraza,"10,000"
A.D. Isidro Metapán,"Metapán , Santa Ana",Estadio Jorge Calero Suárez,"8,000"
A.D. Chalatenango,Chalatenango,Estadio José Gregorio Martínez,"15,000"
Jocoro F.C,"Jocoro , Morazán",Complejo Deportivo Tierra de Fuego,"10,000"
C.D . Pasaquina,"Pasaquina , La Unión",Estadio San Sebastian,"5,000"
C.D . Audaz,"Apastepeque , San Vicente",Estadio La Coyotera,"5,000"
C.D . Luis Ángel Firpo,Usulután,Estadio Sergio Torres,"5,000"
Sonsonate F.C,Sonsonate,Estadio Ana Mercedes Campos,"8,000"
C.D . Municipal Limeño,"Santa Rosa de Lima , La Unión",Estadio José Ramón Flores,"5,000"
