Season,Pitcher,School
2003,David Marchbanks,South Carolina
2004,Justin Hoyman,Florida
2005,Luke Hochevar,Tennessee
2006,Nick Schmidt,Arkansas
2007,David Price,Vanderbilt
2008,Joshua Fields,Georgia
2009,Louis Coleman,LSU
2010,Drew Pomeranz,Ole Miss
2011,Grayson Garvin,Vanderbilt
2012,Chris Stratton,Mississippi State
2013,Aaron Nola,LSU
2014,Aaron Nola ( 2 ),LSU
2015,Carson Fulmer,Vanderbilt
2016,Logan Shore,Florida
2017,Sean Hjelle,Kentucky
2018,Brady Singer,Florida
2019,Ethan Small,Mississippi State
