Dance,Best dancer,Best score,Worst dancer,Worst score
Cha Cha Cha,Przemysław Sadowski,38,Michał Milowicz,22
Waltz,Joanna Liszowska Marcin Mroczek,38,Kaja Paschalska,25
Quickstep,Przemysław Sadowski,40,Michał Milowicz,28
Rumba,Kinga Rusin,40,Maria Wiktoria Wałęsa,26
Jive,Przemysław Sadowski,40,Joanna Liszowska Maria Wiktoria Wałęsa,30
Tango,Peter J. Lucas,39,Kaja Paschalska,26
Foxtrot,Przemysław Sadowski,37,Marcin Mroczek,27
Paso Doble,Kinga Rusin,38,Peter J. Lucas,28
Samba,Joanna Liszowska,36,Marcin Mroczek Magdalena Wójcik,29
Freestyle,Kinga Rusin,40,Peter J. Lucas,38
