Title,Author,Type,Notes
The Tiananmen Papers,Compiled by Zhang Liang,Compilation of selected Chinese official documents,Controversy about this book include authenticity of selected documents and selection bias
Life and Death in Shanghai,Nien Cheng,Autobiography,It is about the author 's personal tortured experience during the Cultural Revolution
Wild Swans : Three Daughters of China,Jung Chang,Family history,It talked about brutal political upheavals in China and purges of the Cultural Revolution
Alice 's Adventures in Wonderland ( 1865 ),Lewis Carroll,Children 's Novel/Adventure,"Was banned in the province of Hunan , China , beginning in 1931 for its portrayal of anthropomorphized animals acting on the same level of complexity as human beings . The censor General Ho Chien believed that attributing human language to animals was an insult to humans . He feared that the book would teach children to regard humans and animals on the same level , which would be disastrous"
"Big River , Big Sea - Untold Stories of 1949 ( 2009 )",Lung Ying-tai,Non-Fiction,"It sold over 100,000 copies in Taiwan and 10,000 in Hong Kong in its first month of release , but discussion of her work was banned in mainland China following the book launch"
"Bloody Myth : An Account of the Cultural Revolution Massacre of 1967 in Daoxian , Hunan ( 血的神话 : 公元1967年湖南道县文革大屠杀纪实 )",Tan Hecheng,Non-fiction,An account of murders in a rural district of China during Mao Zedong 's Cultural Revolution . Banned for 26 years and released in 2012
Green Eggs and Ham ( 1960 ),Dr. Seuss,Novel,"In 1965 , a withdrawn source claimed that the children 's novel was temporarily banned in the People 's Republic of China for its portrayal of early Marxism . The ban was lifted in 1991 , following Seuss ' death"
Various works,Shen Congwen ( 1902-1988 ),Novels,"Denounced by the Communists and Nationalists alike , Mr. Shen saw his writings banned in Taiwan , while mainland [ China ] publishing houses burned his books and destroyed printing plates for his novels . ... . So successful was the effort to erase Mr. Shen 's name from the modern literary record that few younger Chinese today recognize his name , much less the breadth of his work . Only since 1978 has the Chinese Government reissued selections of his writings , although in editions of only a few thousand copies . ... . In China , his passing was unreported"
Zhuan Falun ( 1993 ),Li Hongzhi,Spiritual/Political,Banned in Mainland China
China 's Best Actor : Wen Jiabao ( 2010 ),Yu Jie,Political,Author moved to the United States in 2012
I Love My Mum ( 2004 ),Chen Xiwo,Political,A novella in which the relationship between Chinese citizens and their government are metaphorically portrayed as a cognitively impaired man in extreme sexual situations with their mother
