Frequency,Call sign,Branding,Format,Owner
00 90.1 FM,CBBS-FM,CBC Music,public music,Canadian Broadcasting Corporation
00 90.9 FM,CBBX-FM,Ici Musique,public music,Canadian Broadcasting Corporation
00 91.7 FM,CICS-FM,Pure Country 91.7,country,Bell Media Radio
00 92.7 FM,CJRQ-FM,92.7 Rock,active rock,Rogers Communications
00 93.5 FM,CIGM-FM,Hot 93.5,contemporary hit radio,Stingray Group
00 95.5 FM,CJTK-FM,KFM,Christian music,Eternacom
00 96.7 FM,CKLU-FM,CKLU,campus radio,Laurentian University
00 98.1 FM,CBON-FM,Ici Radio-Canada Première,public news / talk,Canadian Broadcasting Corporation
00 98.9 FM,CHYC-FM,Le Loup 98.9,hot adult contemporary,Le5 Communications
00 99.9 FM,CBCS-FM,CBC Radio One,public news / talk,Canadian Broadcasting Corporation
0 101.7 FM,CKJC-FM,,tourist information,1158556 Ontario Ltd. ( Roger de Brabant )
0 103.9 FM,CHNO-FM,Rewind 103.9,classic hits,Stingray Group
0 105.3 FM,CJMX-FM,Kiss 105.3,hot adult contemporary,Rogers Communications
