Round,Pick,Player,Position,Nationality,College
1,4,David Corky Calhoun,Forward,United States,Pennsylvania
3,33,Scott English,Forward,United States,Texas El-Paso
3,34,Don Buse,Guard,United States,Evansville
3,42,Claude Terry,Guard,United States,Stanford
4,59,Matt Gantt,Forward,United States,St. Bonaventure
5,75,Wardell Dyson,Center,United States,Shaw
6,92,Charles Edge,Forward,United States,LeMoyne-Owen
7,109,Bernie Fryer,Guard,United States,Brigham Young
8,125,Russell Golden,Forward,United States,Jackson State
9,140,Bill Kennedy,Guard,United States,Arizona State
10,153,Al Vilcheck,Center,United States,Louisville
11,164,John Belcher,Center,United States,Arkansas State
12,172,Mark Soderberg,Center,United States,Utah
13,179,Kelly Utley,Guard,United States,Shaw
14,186,Ray Golson,Forward,United States,West Texas State
