Season,Event type,Location,Format,Date,Rank
1996,Pro Tour,Los Angeles,Booster Draft,3-5 May 1996,3
1996-97,Pro Tour,Atlanta,Sealed Deck,13-15 September 1996,2
1996-97,Pro Tour,Paris,Block Constructed,11-13 April 1997,3
1997-98,Invitational,Rio de Janeiro,Special,29 January-2 February 1998,1
1997-98,Grand Prix,Indianapolis,Limited,27-28 June 1998,6
1998-99,Grand Prix,Boston,Standard,5-6 September 1998,5
1998-99,Grand Prix,Austin,Standard,10-11 October 1998,2
1998-99,Invitational,Barcelona,Special,4-7 February 1999,5
1999-00,Pro Tour,"Washington , D.C",Team Limited,3-5 September 1999,1
1999-00,Pro Tour,London,Booster Draft,15-17 October 1999,8
1999-00,Grand Prix,San Diego,Limited,20-21 November 1999,5
2000-01,Grand Prix,Manchester,Limited,7-8 October 2000,1
2000-01,Invitational,Sydney,Special,16-19 November 2000,5
2001-02,Grand Prix,Denver,Block Constructed,18-19 August 2001,3
2001-02,Pro Tour,New Orleans,Extended,2-4 November 2001,7
2002-03,Pro Tour,Houston,Extended,8-10 November 2002,3
2002-03,Pro Tour,Venice,Block Constructed,21-23 March 2003,6
