Player,Years,Seasons & Teams
Sam Crawford,17,1900-02 Cincinnati ; 1903-16 Detroit
Ty Cobb,13,1907-19 Detroit
Mike Tiernan,10,1889-98 New York ( NL )
Elmer Flick,10,1898-1901 Philadelphia ( NL ) ; 02 Philadelphia ( AL ) - Cleveland ; 1903-07 Cleveland
Fred Clarke,10,1900-09 Pittsburgh
Bobby Veach,10,1913-22 Detroit
Sam Rice,10,1921-30 Washington ( AL )
Paul Waner,10,1926-35 Pittsburgh
Eddie Collins,9,1909-14 Philadelphia ( AL ) ; 1915-17 Chicago ( AL )
Earle Combs,9,1925-33 New York ( AL )
Roger Connor,8,1885-91 New York ( NL ) ; 1892 Philadelphia ( NL )
Ed McKean,8,1890-97 Cleveland ( NL )
Heinie Manush,8,1927 Detroit ; 1928-29 St. Louis ( AL ) ; 1930 St. Louis ( AL ) -Washington ( AL ) ; 1931-34 Washington ( AL )
