Club,City,Province,Stadium,Capacity,2011-12 season
Arema Indonesia,Malang,East Java,Gajayana,"30,000",3rd Indonesia Premier League
Bontang FC,Bontang,East Kalimantan,Mulawarman,"20,000",11th Indonesia Premier League
Persebaya 1927,Surabaya,East Java,Gelora Bung Tomo,"50,000",2nd Indonesia Premier League Runners-up
Persema Malang,Malang,East Java,Gajayana,"30,000",7th Indonesia Premier League
Perseman Manokwari,Manokwari,West Papua,Maguwoharjo,"30,000",1st in Group 3 Premier Division
Persepar Palangkaraya,Palangkaraya,Central Kalimantan,Tuah Pahoe Stadium,"7,000",1st in Group 2 Premier Division Champions
Persiba Bantul,Bantul,Yogyakarta,Sultan Agung,"35,000",5th Indonesia Premier League
Persibo Bojonegoro,Bojonegoro,East Java,Letjen Haji Sudirman,"15,000",4th Indonesia Premier League
Persija ( Jakarta FC ),Jakarta,Jakarta,Singaperbangsa,"25,000",9th in Indonesia Premier League
Persijap Jepara,Jepara,Central Java,Gelora Bumi Kartini,"25,000",10th in Indonesia Premier League
Persiraja Banda Aceh,Banda Aceh,Aceh,Harapan Bangsa,"40,000",8th Indonesia Premier League
Pro Duta FC,Lubuk Pakam,North Sumatra,Baharuddin Siregar,"15,000",1st in Group 1 Premier Division
PSIR Rembang,Rembang,Central Java,Krida Stadium,"7,000",2nd in Group 2 Premier Division
PSLS Lhokseumawe,Lhokseumawe,Aceh,Tunas Bangsa Stadium,"20,000",2nd in Group 1 Premier Division
PSM Makassar,Makassar,South Sulawesi,Andi Mattalatta,"30,000",6th Indonesian Premier League
Semen Padang FC,Padang,West Sumatra,Haji Agus Salim,"28,000",1st in Indonesian Premier League Champions
