Model designation,Build year,Total produced,AAR wheel arrangement,Prime mover,Power output
EMC pre - SC,1935,2,B-B,Winton 8-201-A,600 hp ( 447 kW )
SC,1936-1939,43,B-B,Winton 8-201-A,600 hp ( 447 kW )
Model 90,1935,1,B-B,Winton 12-201-A,900 hp ( 671 kW )
SW,1936-1939,76,B-B,Winton 8-201-A,600 hp ( 447 kW )
NC,1937-1938,5,B-B,Winton 12-201-A,900 hp ( 671 kW )
NC1,1937,5,B-B,Winton 12-201-A,900 hp ( 671 kW )
NC2,1937,2,B-B,Winton 12-201-A,900 hp ( 671 kW )
T,1936,1,B-B+B-B,Dual Winton 12-201-A,"1,800 hp ( 1,342 kW )"
NW,1937-1938,8,B-B,Winton 12-201-A,900 hp ( 671 kW )
NW1,1937-1939,27,B-B,Winton 12-201-A,900 hp ( 671 kW )
NW1A,1938,3,B-B,Winton 12-201-A,900 hp ( 671 kW )
NW2,1939-1949,"1,145",B-B,EMD 12-567 or 12-567A,"1,000 hp ( 750 kW )"
NW3,1939-1942,7,B-B,EMD 12-567,"1,000 hp ( 750 kW )"
NW4,1938,2,B-B,Winton 12-201-A,900 hp ( 671 kW )
NW5,1946-1947,13,B-B,EMD 12-567A,"1,000 hp ( 750 kW )"
TR,1940,3,B-B+B-B Cow-calf,Dual EMD 12-567,"2,000 hp ( 1,490 kW )"
TR1,1941,2,B-B+B-B Cow-calf,Dual EMD 16-567,"2,700 hp ( 2,013 kW )"
TR2,1945-1949,36,B-B+B-B Cow-calf,Dual EMD 12-567A,"2,000 hp ( 1,490 kW )"
TR3,1949,2,B-B+B-B+B-B Cow-calf-calf,Triple EMD 12-567A,"3,000 hp ( 2,337 kW )"
TR4,1950-1951,15,B-B+B-B Cow-calf,Dual EMD 12-567A,"2,400 hp ( 1,789 kW )"
