Season,Player,School,Class
1999-00,Marcus Fizer,Iowa State,Junior
2000-01,Jason Collins,Stanford,Senior
2001-02,Drew Gooden,Kansas,Junior
2002-03,David West,Xavier,Senior
2003-04,Emeka Okafor,Connecticut,Junior
2004-05,Andrew Bogut,Utah,Sophomore
2005-06,Glen Davis,LSU,Sophomore
2006-07,Greg Oden,Ohio State,Freshman
2007-08,Michael Beasley,Kansas State,Freshman
2008-09,Blake Griffin,Oklahoma,Sophomore
2009-10,Greg Monroe,Georgetown,Sophomore
2010-11,JaJuan Johnson,Purdue,Senior
2011-12,Anthony Davis,Kentucky,Freshman
2012-13,Mason Plumlee,Duke,Senior
2013-14,Patric Young,Florida,Senior
2014-15,Jahlil Okafor,Duke,Freshman
2015-16,Jakob Pöltl,Utah,Sophomore
2016-17,Caleb Swanigan,Purdue,Sophomore
2017-18,Marvin Bagley III,Duke,Freshman
2018-19,Ethan Happ,Wisconsin,Senior
