#,Name,Seasons
1,George Weiss,1962 - 1966
2,Bing Devine,1967
3,Johnny Murphy,1968 - 1969
4,Bob Scheffing,1970 - 1974
5,Joe McDonald,1975 - 1979
6,Frank Cashen,1980 - 1991
7,Al Harazin,1992 - 1993
8,Joe McIlvaine,1994 - 1997
9,Steve Phillips,1997
-,Frank Cashen ( Interim ),1998
-,Steve Phillips,1998 - 2003
10,Jim Duquette,2004
11,Omar Minaya,2005 - 2010
-,John Ricco ( Interim ),2010
12,Sandy Alderson,2010 -2018
-,"John Ricco ( Interim , as part of triumvirate )",2018
-,"Omar Minaya ( Interim , as part of triumvirate )",2018
-,"J. P. Ricciardi ( Interim , as part of triumvirate )",2018
13,Brodie Van Wagenen,2018
